Level_1,Level_2,Level_3,Level_4,Level_5,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,function_group,segment_id,n_frames
1,0,0,0,0,2,3,3,4,1,2,4,2,2,2,2,2,Adjust seat positioning,TESTDATA_SESSION_A|win001,20
0,1,0,0,0,2,3,2,4,4,3,4,4,3,4,2,3,Send a text message,TESTDATA_SESSION_A|win002,20
0,0,1,0,0,4,3,2,5,2,5,4,3,4,3,2,3,Overtake vehicle ahead,TESTDATA_SESSION_A|win003,20
0,0,0,1,0,2,2,3,2,2,2,4,4,3,2,2,2,Change song,TESTDATA_SESSION_A|win004,20
0,0,0,0,1,2,3,4,2,2,3,4,3,3,2,2,3,Navigation control,TESTDATA_SESSION_A|win005,20
0,1,0,0,0,2,3,2,2,4,2,4,3,4,3,2,2,Start a phone call,TESTDATA_SESSION_A|win006,20
0,0,1,0,0,2,4,4,2,2,4,4,4,2,2,4,2,Provide weather update,TESTDATA_SESSION_A|win007,20
0,0,0,1,0,2,3,3,2,2,2,4,4,2,2,2,2,Adjust in-car temperature,TESTDATA_SESSION_A|win008,20
0,0,0,0,1,2,5,4,4,2,4,3,3,4,3,4,3,Change driving mode,TESTDATA_SESSION_A|win009,20
1,0,0,0,0,3,3,2,5,2,4,3,2,3,3,2,4,Select parking space,TESTDATA_SESSION_A|win010,20
0,1,0,0,0,5,1,1,2,1,4,3,2,2,3,1,1,Start a movie,TESTDATA_SESSION_A|win011,20
0,0,1,0,0,1,3,3,1,1,1,4,4,1,1,3,1,Provide traffic news,TESTDATA_SESSION_A|win012,20
0,0,0,0,1,2,3,3,4,1,2,4,2,2,2,2,2,Adjust seat positioning,TESTDATA_SESSION_B|win001,20
0,0,0,1,0,2,3,2,4,4,3,4,4,3,4,2,3,Send a text message,TESTDATA_SESSION_B|win002,20
0,0,1,0,0,4,3,2,5,2,5,4,3,4,3,2,3,Overtake vehicle ahead,TESTDATA_SESSION_B|win003,20
0,1,0,0,0,2,2,3,2,2,2,4,4,3,2,2,2,Change song,TESTDATA_SESSION_B|win004,20
1,0,0,0,0,2,3,4,2,2,3,4,3,3,2,2,3,Navigation control,TESTDATA_SESSION_B|win005,20
0,0,0,0,1,2,3,2,2,4,2,4,3,4,3,2,2,Start a phone call,TESTDATA_SESSION_B|win006,20
0,0,0,1,0,2,4,4,2,2,4,4,4,2,2,4,2,Provide weather update,TESTDATA_SESSION_B|win007,20
0,0,1,0,0,2,3,3,2,2,2,4,4,2,2,2,2,Adjust in-car temperature,TESTDATA_SESSION_B|win008,20
0,1,0,0,0,2,5,4,4,2,4,3,3,4,3,4,3,Change driving mode,TESTDATA_SESSION_B|win009,20
1,0,0,0,0,3,3,2,5,2,4,3,2,3,3,2,4,Select parking space,TESTDATA_SESSION_B|win010,20
0,0,0,0,1,5,1,1,2,1,4,3,2,2,3,1,1,Start a movie,TESTDATA_SESSION_B|win011,20
0,0,1,0,0,1,3,3,1,1,1,4,4,1,1,3,1,Provide traffic news,TESTDATA_SESSION_B|win012,20
